school,date,headline,author,url,Main topic,Section,Primary purpose,Scope,Student sources,Non-student sources,Controversial topics?,Dissenting voices (2+ opinions) (1=yes 2=maybe 3=no),Word count,Tags
HW Chronicle,2021-09-07,Performing Arts Department organizes costume giveaway,Natasha Speiss and James Hess,https://hwchronicle.com/102351/news/performing-arts-department-organizes-costume-giveaway/,Community life,News,Spread awareness,School,1,2,No,3,428,"Arts, events"
HW Chronicle,2021-09-07,School confirms first COVID-19 case of the year,Davis Marks and Alex Hahn,https://hwchronicle.com/102385/news/school-confirms-first-covid-19-case-of-the-year/,School policy/administration,News,Inform,School,2,1,Yes,2,549,"COVID, COVID case, COVID policy, masking"
HW Chronicle,2021-09-06,JFA hosts summer Shabbat dinner,Natalie Cosgrove,https://hwchronicle.com/102183/news/jfa-hosts-summer-shabbat-dinner/,Community life,News,Spread awareness,School,2,1,No,3,384,"Religion, events, clubs"
HW Chronicle,2021-09-05,Hackers access alumni college application records,Lily Lee,https://hwchronicle.com/102379/news/hackers-access-alumni-college-application-records/,Threats to student safety,News,Inform,State/national/world,2,1,No,3,445,"Cybersecurity, college, privacy"
HW Chronicle,2021-09-05,Full vaccination required by administration for school year,Claire Conner,https://hwchronicle.com/101926/news/full-vaccination-required-by-administration-for-school-year/,School policy/administration,News,Inform,School,3,1,Yes,3,732,"COVID, vaccination, COVID policy"
HW Chronicle,2021-09-02,Administration announces COVID-19 safety protocols as both campuses reopen at full capacity,Tessa Augsberger and Milla Ben-Ezra,https://hwchronicle.com/102165/news/administration-announces-covid-19-safety-protocols-as-both-campuses-reopen-at-full-capacity/,School policy/administration,News,Inform,School,2,2,Yes,2,895,"COVID, vaccination, masking, COVID policy"
Union Street Journal,2021-12-20,Student Behavior: Our Path Towards the Future,"Amanda Castillo-Lopez, Lily Deitch, Emily Gleason, Dalia Martinez, Norah Rudnick, and Nick Rui",https://unionstreetjournal.com/2021/12/student-behavior-our-path-towards-the-future/,Socio-political issues and school culture,News,Promote discourse,School,3,4,Yes,1,897,"Student behavior, misbehavior, student discipline"
Union Street Journal,2021-12-10,"Denver Metro Area Sees First Snow To ‘Stick,’ Sets Record For Latest First Snow Ever","Carly Philpott, Editor-in-Chief",https://unionstreetjournal.com/2021/12/denver-metro-area-sees-first-snow-to-stick-sets-record-for-latest-first-snow-ever/,Reactions to broader politics/events,News,Spread awareness,Local,3,0,No,3,350,Weather
Union Street Journal,2021-12-08,The Two Sides of a New French Pronoun,"Norah Rudnick, Assistant News Editor",https://unionstreetjournal.com/2021/12/the-two-sides-of-a-new-french-pronoun/,Reactions to broader politics/events,News,Promote discourse,State/national/world,1,2,No,2,723,"Gender, curriculum"
Union Street Journal,2021-11-11,"For Creek’s ILC Students & Staff, COVID-19 Meant “Overcoming Hurdles On A Daily Basis”","Amanda Castillo-Lopez, Assistant News Editor",https://unionstreetjournal.com/2021/11/for-creeks-ilc-students-staff-covid-19-meant-overcoming-hurdles-on-a-daily-basis/,Socio-political issues and school culture,News,Promote discourse,School,0,3,Yes,3,519,"COVID, disability, pedagogy, teaching, learning"
Union Street Journal,2021-11-10,How Rotting Halloween Pumpkins Contribute To Climate Change,"Nick Rui, Assistant Editor",https://unionstreetjournal.com/2021/11/how-rotting-halloween-pumpkins-contribute-to-climate-change/,Reactions to broader politics/events,News,Promote discourse,State/national/world,2,1,No,3,549,Climate change
Union Street Journal,2021-11-03,Kristin Allan And Kelly Bates Win CCSD School Board Election,"Amanda Castillo-Lopez, Assistant News Editor",https://unionstreetjournal.com/2021/11/kristin-allan-and-kelly-bates-win-ccsd-school-board-election/,Reactions to broader politics/events,News,Inform,Local,0,2,Yes,2,269,"Critical race theory, politics, local politics, school board"
Union Street Journal,2021-11-01,CCSD Kitchen Staff Shortage Threatens Student Food Supply,"Emily Gleason, Staff Writer",https://unionstreetjournal.com/2021/11/ccsd-kitchen-staff-shortage-threatens-student-food-supply/,School policy/administration,News,Inform,School,2,1,No,2,742,"Dining, staff, faculty, COVID"
Union Street Journal,2021-10-29,The Divisions Between Us,Lily Deitch and Amanda Castillo-Lopez,https://unionstreetjournal.com/2021/10/the-divisions-between-us/,Reactions to broader politics/events,News,Promote discourse,Local,0,4,Yes,1,1087,"Critical race theory, politics, local politics, masking, school board"
Union Street Journal,2021-10-27,New International Film Club Highlights Creek’s Diversity,"Finn Elliott, Staff Writer",https://unionstreetjournal.com/2021/10/new-international-film-club-highlights-creeks-diversity/,Community life,News,Spread awareness,School,2,1,No ,3,345,"Clubs, culture, diversity, extracurriculars"
Union Street Journal,2021-10-14,Meet the 2021 CCSD School Board Candidates and Debates,Lily Deitch and Amanda Castillo-Lopez,https://unionstreetjournal.com/2021/10/meet-the-2021-ccsd-school-board-candidates/,Reactions to broader politics/events,News,Inform,Local,0,5,No,1,1515,"Local politics, school board, profiles, election"
Union Street Journal,2021-10-08,The Comeback of Spirit Week,"Ella Griffin, Staff Writer",https://unionstreetjournal.com/2021/10/the-comeback-of-spirit-week/,Community life,News,Spread awareness,School,3,0,No,3,365,"School spirit, student life, student government"
Union Street Journal,2021-09-23,CCSD Transportation Department Combats Bus Driver Shortage,"Lily Deitch, News Editor",https://unionstreetjournal.com/2021/09/ccsd-transportation-department-combats-bus-driver-shortage/,School policy/administration,News,Promote discourse,School,3,1,No,2,849,"Transportation, staff, hiring, mental health"
Union Street Journal,2021-09-18,Vandalism Becomes Problem At Creek Due To “Devious Licks” Trend On TikTok,"Aila MonLouis, A&E Editor",https://unionstreetjournal.com/2021/09/vandalism-becomes-problem-at-creek-due-to-devious-licks-trend-on-tiktok/,Socio-political issues and school culture,News,Promote discourse,School,3,0,Yes,2,461,"Vandalism, student behavior, student discipline"
Union Street Journal,2021-09-10,Back To Masks: Students Express Conflicting Opinions Over Returning Mask Mandate,"Amanda Castillo-Lopez, Staff Writer",https://unionstreetjournal.com/2021/09/back-to-masks-students-express-conflicting-opinions-over-returning-mask-mandate/,School policy/administration,News,Promote discourse,School,2,1,Yes,1,510,"COVID, COVID policy, masking"
Union Street Journal,2021-09-08,"CCSD-Issued Individual Laptops Bring Opportunity, Concern","Annabelle Crouch, Staff Writer",https://unionstreetjournal.com/2021/09/ccsd-issued-individual-laptops-bring-opportunity-concern/,School policy/administration,News,Promote discourse,Local,1,2,No,1,777,"Equity, technology, technology gap"
The Southerner,2021-12-16,"City Councilman, Atlanta Public Schools graduate Dickens elected Atlanta’s 61st mayor",Jamie Marlowe,https://thesoutherneronline.com/86394/news/city-councilman-atlanta-public-schools-graduate-dickens-elected-atlantas-61st-mayor/,Reactions to broader politics/events ,News,Inform,Local,0,3,No,2,845,"Politics, city politics, mayor"
The Southerner,2021-12-13,Behavioral screener raises concerns,Ava Smith,https://thesoutherneronline.com/86345/news/behavioral-screener-raises-concerns/,Socio-political issues and school culture,News,Accountability,School,5,4,Yes,1,2768,"Student behavior, school psychology, mental health"
The Southerner,2021-12-09,"District reaches all time high graduation rate, gaps remain",Stella Mackler,https://thesoutherneronline.com/86286/news/district-reaches-all-time-high-graduation-rate-gaps-remain/,Socio-political issues and school culture,News,Promote discourse,Local,0,3,Yes,3,971,"Graduation rate, student success, academics, race, racial inequity"
The Southerner,2021-12-07,APS hopes to drop mask requirement in February,Aran Sonnad-Joshi and Shalin Bhatia,https://thesoutherneronline.com/86256/news/aps-hopes-to-drop-mask-requirement-in-february/,School policy/administration,News,Inform,School,4,2,Yes,1,803,"COVID, COVID policy, masking, mask mandate"
The Southerner,2021-12-07,Community speaks against recommended 4th and 5th grade academy,Lindsay Ruhl,https://thesoutherneronline.com/86216/news/aps-community-speaks-against-recommended-4th-5th-academy-at-boe-meeting/,School policy/administration,News,Promote discourse,Local,0,7,Yes,1,1115,"Enrollment, school board, overcrowding"
The Southerner,2021-11-30,Atlanta children receive vaccine after FDA approval,Lindsay Ruhl,https://thesoutherneronline.com/86099/news/atlanta-children-receive-vaccine-after-fda-approval/,Reactions to broader politics/events ,News,Inform,Local,0,5,Yes,3,1099,"COVID, vaccination"
The Southerner,2021-11-27,Boys’ High School establishes foundation of excellence for Midtown,Aran Sonnad-Joshi and Sayan Sonnad-Joshi,https://thesoutherneronline.com/86041/news/boys-high-school-establishes-foundation-of-excellence-for-midtown/,Community life,News,Spread awareness,School,0,7,Yes,3,2649,"History, school culture, school history, gender, racism"
The Southerner,2021-11-26,"APS hosts APS NEXT event, discusses state of the district",Ava Smith,https://thesoutherneronline.com/86033/news/aps-hosts-aps-next-event-discusses-state-of-the-district/,Community life,News,Inform,Local,2,3,Yes,2,1238,"COVID, local school district, mental health, school administration, local politics"
The Southerner,2021-11-17,"AP exam costs reduced, helping students",Stella Mackler,https://thesoutherneronline.com/85959/news/ap-exam-costs-reduced-helping-students/,School policy/administration,News,Inform,School,2,3,No,3,729,"School finance, testing, student success, school policy"
The Southerner,2021-11-15,Krog Street Market struggles with increase in reported theft,Alannah Edwards,https://thesoutherneronline.com/85909/news/increase-of-student-theft-at-krog-street-market/,Socio-political issues and school culture,News,Promote discourse,Local,0,3,Yes,2,535,"Student behavior, crime, local business"
The Southerner,2021-11-09,Parents protest recommended fourth and fifth grade academy,Lindsay Ruhl,https://thesoutherneronline.com/85757/news/parents-protest-proposed-fourth-and-fifth-grade-academy/,School policy/administration,News,Promote discourse,Local,0,6,Yes,1,1261,"Enrollment, school board, overcrowding, activism, parent activism, protest"
The Southerner,2021-11-01,Educator and spoken word artist Bethsheba Rem runs for school board,Aran Sonnad-Joshi,https://thesoutherneronline.com/85661/news/educator-and-spoken-word-artist-bethsheba-rem-runs-for-school-board/,Community life,News,Spread awareness,Local,0,2,No,3,871,"Local politics, arts, school board"
The Southerner,2021-10-29,Candidates campaign for City Council District 6 seat,Yei Bin Andrews,https://thesoutherneronline.com/85401/news/candidates-campaign-for-city-council-district-6-seat/,Community life,News,Inform,Local,0,3,No,3,1181,"Local politics, election, city council"
The Southerner,2021-10-29,The Southerner’s Guide to the 2021 City Elections,Anna Rachwalski and Stella Mackler,https://thesoutherneronline.com/85372/news/the-southerners-guide-to-the-2021-city-elections/,COME BACK TO THIS,,,,,,,,,
The Southerner,2021-10-28,Stadium renaming ceremony honors Eddie S. Henderson,Greta Gustafson and Tori Williams,https://thesoutherneronline.com/85355/news/stadium-renaming-ceremony-honors-eddie-s-henderson/,School policy/administration,News,Inform,School,1,2,No,3,552,"School policy, renaming, race, African Americans, sports"
The Southerner,2021-10-27,"School celebrates renaming, new building with ribbon-cutting ceremony",Anna Rachwalski,https://thesoutherneronline.com/85195/front-slideshow/school-celebrates-renaming-new-building-with-ribbon-cutting-ceremony/,Not really a story? circle back,,,,,,,,,
The Southerner,2021-10-25,Potential Buckhead de-annexation could harm Atlanta and APS,Aran Sonnad-Joshi,https://thesoutherneronline.com/85165/news/potential-buckhead-de-annexation-could-harm-atlanta-and-aps/,Socio-political issues and school culture ,News,Promote discourse,Local,2,5,Yes,1,1675,"Crime, local politics, violence"
The Southerner,2021-10-22,Signature theme changing from College and Career Readiness to STEM or STEAM,Aran Sonnad-Joshi,https://thesoutherneronline.com/85108/news/signature-theme-changing-from-co/,School policy/administration,News,Promote discourse,School,0,4,No,2,1079,"Curriculum, college, career, school policy"
The Southerner,2021-10-11,Student Government organizes fall festival,Stella Mackler,https://thesoutherneronline.com/84778/news/student-government-organizes-a-new-kind-of-homecoming/,Community life,News,Spread awareness,School,2,1,No,3,594,"Community life, student life, student government"
The Southerner,2021-10-08,Lenox Square enhances security with new rules for minors,Jamie Marlowe,https://thesoutherneronline.com/84795/news/lenox-square-enhances-security-with-new-rules-for-minors/,Socio-political issues and school culture ,News,Promote discourse,Local,2,3,No,2,777,"Crime, security, local business"
The Southerner,2021-10-01,Labor shortage provides opportunity for high schoolers,Stella Maximuk,https://thesoutherneronline.com/84681/news/labor-shortage-provides-opportunity-for-high-schoolers/,Socio-political issues and school culture ,News,Promote discourse,Local,2,0,No,3,534,"Local business, labor"
The Southerner,2021-09-27,District-wide ‘Rock the Vote’ field trip raises Covid concerns,"Lindsay Ruhl, Ava Smith, Yei Bin Andrews, and Stella Mackler",https://thesoutherneronline.com/84558/news/district-wide-rock-the-vote-pep-rally-event-sparks-controversy/,School policy/administration,News,Promote discourse,Local,0,5,Yes,1,1263,"Voting, COVID, COVID safety"
The Southerner,2021-09-23,New online surveillance generates privacy concerns,Jamie Marlowe,https://thesoutherneronline.com/84379/news/new-surveillance-stirs-controversy-in-aps/,Threats to student safety,News,Promote discourse,School,4,1,Yes,1,922,"Surveillance, privacy concerns, student safety"
The Southerner,2021-09-22,Engineering and Drafting and Design pathways get grant and new space,Aran Sonnad-Joshi,https://thesoutherneronline.com/84355/news/84355/,Community life,News,Inform,School,1,2,No,3,704,"School policy, funding, curriculum"
The Southerner,2021-09-18,Student government returns after year off,Tori Williams,https://thesoutherneronline.com/84261/news/student-government-returns-after-year-off/,Community life,News,Inform,School,6,1,No,3,751,"Student life, student government, COVID"
The Southerner,2021-09-17,‘Devious Licks’ spurs bathroom vandalism,Aran Sonnad-Joshi,https://thesoutherneronline.com/84245/news/students-vandalize-bathrooms-as-part-of-tiktok-trend/,Socio-political issues and school culture ,News,Promote discourse,School,4,4,Yes,1,1139,"Student behavior, vandalism, misbehavior, devious licks"
The Southerner,2021-09-15,Future of healthcare science pathway remains unknown,Shalin Bhatia,https://thesoutherneronline.com/84187/news/healthcare-pathway-with-a-planned-future/,School policy/administration,News,Spread awareness,School,1,2,No,3,421,"Curriculum, academics, school policy"
The Southerner,2021-09-14,Former APS students run for District 1 seat on Atlanta Board of Education,None,https://thesoutherneronline.com/84136/news/aps-parents-run-for-district-1-seat-on-atlanta-board-of-education/,Reactions to broader politics/events ,News,Inform,Local,0,3,No,3,1284,"Local politics, election, school district, alumni, race"
The Southerner,2021-09-13,Atlanta Public Schools recruits bus drivers with incentives,Lindsay Ruhl,https://thesoutherneronline.com/84121/news/atlanta-public-schools-combats-bus-driver-shortage/,School policy/administration,News,Inform,Local,1,3,No,2,1314,"Bus, student life, district, district policy"
The Southerner,2021-09-07,"Atlanta City Council scheduled to vote on controversial police, fire training facility development","Lucia Gravel, Kelly Tran, Ava Smith , and Yei Bin Andrews",https://thesoutherneronline.com/83986/news/atlanta-city-council-scheduled-to-vote-tuesday-on-controversial-police-fire-training-facility-development/,Reactions to broader politics/events ,News,Promote discourse,Local,2,3,Yes,2,1315,"Police, local politics, vote, infrastructure"
The Southerner,2021-09-03,Midtown implements Covid-19 protocols,Tori Williams,https://thesoutherneronline.com/83883/news/students-with-covid-19-do-school-online/,Reactions to broader politics/events ,News,Inform,Local,2,2,Yes,2,749,"COVID, COVID policy, online learning"
The Southerner,2021-09-01,Midtown reopens with room for growth,"Yei Bin Andrews, Aran Sonnad-Joshi, Sayan Sonnad-Joshi, Lucia Gravel, Shay Bowman, and Kelly Tran",https://thesoutherneronline.com/83845/news/midtown-reopens-with-room-for-growth/,Socio-political issues and school culture,News,Promote discourse,School,9,11,Yes,1,2400,"COVID, COVID policy, mask, masks, social distancing, school renaming"
UHigh Midway,2021-12-30,Community-wide COVID-19 testing to delay in-person classes to Jan. 10,"William Tan, Assistant Editor",https://uhighmidway.com/14075/news/community-wide-covid-19-testing-to-delay-in-person-classes-to-jan-10/,School policy/administration,News,Inform,School,0,0,Yes,3,573,"COVID, COVID policy, COVID testing, remote learning"
UHigh Midway,2021-12-17,Hiring issues for Extended Day Program persist,"Peter Pu, Editor-in-Chief",https://uhighmidway.com/13937/news/hiring-issues-for-extended-day-program-persist/,School policy/administration,News,Inform,School,0,1,Yes,3,375,"Hiring, public image, hiring issues"
UHigh Midway,2021-12-16,New law addresses youth mental health,"Adrianna Nehme, News Editor",https://uhighmidway.com/13874/news/new-law-addresses-youth-mental-health/,Socio-political issues and school culture ,News,Promote discourse,State/national/world,1,2,Yes,2,602,"Mental health, student mental health, stress, depression, politics"
UHigh Midway,2021-12-16,"Student Council passes decoration, feedback bills","Sahana Unni, Content Manager",https://uhighmidway.com/14010/news/student-council-passes-decoration-feedback-bills/,School policy/administration,News,Inform,School,2,0,No,3,253,"Student government, leadership"
UHigh Midway,2021-12-15,"UChicago, police implement more safety measures","Berk Oto, Editor-in-Chief",https://uhighmidway.com/13883/news/uchicago-police-implement-more-safety-measures/,Reactions to broader politics/events ,News,Accountability,Local,1,3,Yes,1,800,"Policing, violence, shooting, student safety, activism, protest"
UHigh Midway,2021-12-15,"Lack of teachers, new schedule lead to changes in P.E. curriculum","Joaquin Figueroa, Reporter",https://uhighmidway.com/13772/news/lack-of-teachers-new-schedule-lead-to-changes-in-p-e-curriculum/,School policy/administration,News,Inform,School,1,1,No,2,376,"Hiring, public image, hiring issues, curriculum"
UHigh Midway,2021-12-15,Wellness survey reveals areas of concern,Adrianna Nehme and Sahana Unni,https://uhighmidway.com/13969/news/wellness-survey-reveals-areas-of-concern/,Socio-political issues and school culture ,News,Promote discourse,School,0,3,Yes,2,760,"Student stress, student mental health, distance learning"
UHigh Midway,2021-12-12,Workload expectations to be included in the Program of Studies,"Colin Leslie, Assistant Editor",https://uhighmidway.com/13740/news/workload-expectations-to-be-included-in-the-program-of-studies/,School policy/administration,News,Inform,School,1,3,Yes,2,489,"Student stress, academics"
UHigh Midway,2021-12-09,Exchange trips canceled for the second year,"Téa Tamburo, Deputy Managing Editor",https://uhighmidway.com/13725/news/exchange-trips-cancelled-for-the-second-year/,School policy/administration,News,Inform,School,2,1,No,2,435,"COVID, COVID policy, curriculum"
UHigh Midway,2021-12-06,Chess tables honor former history teacher,"Caroline Hohner, Features Editor",https://uhighmidway.com/13717/news/chess-tables-honor-former-history-teacher/,Community life,News,Spread awareness,School,0,1,No,3,235,"Faculty, awards"
UHigh Midway,2021-12-04,"Jaime Rachel, Laboratory Schools staff member, has died","Caroline Hohner, Features Editor",https://uhighmidway.com/13711/news/jaime-rachel-laboratory-schools-staff-member-has-died/,Community life,News,Spread awareness,School,0,3,No,3,536,"Faculty, obituary, profile"
UHigh Midway,2021-12-02,Robotics teams participate in first competition this school year,"Amon Gray, Arts Co-Editor",https://uhighmidway.com/13705/news/robotics-teams-participate-in-first-competition-this-school-year/,Community life,News,Spread awareness,School,1,1,No,3,259,"Student life, extracuriculars, clubs"
UHigh Midway,2021-11-30,"At two conferences, Model UN team wins top award","Erich Raumann, Reporter",https://uhighmidway.com/13684/news/at-two-conferences-model-un-team-wins-top-award/,Community life,News,Spread awareness,School,1,0,No,3,256,"Student life, extracuriculars, clubs, awards"
UHigh Midway,2021-11-17,"After campus shootings, UChicago responds with increased safety measures","Berk Oto, Editor-in-Chief",https://uhighmidway.com/13658/news/after-campus-shootings-uchicago-responds-with-increased-safety-measures/,Reactions to broader politics/events ,News,Promote discourse,Local,0,3,Yes,2,449,"Policing, violence, shooting, student safety, activism, protest, crime, gun violence"
UHigh Midway,2021-11-16,Pandemic interrupts bus service,"Ryan Clark, Opinion Editor",https://uhighmidway.com/13506/news/pandemic-interrupts-bus-service/,School policy/administration,News,Inform,Local,1,1,No,2,407,"Transportation, staff, staff issues, COVID"
UHigh Midway,2021-11-16,Chemistry student recognized for high exam score,"Audrey Park , Reporter",https://uhighmidway.com/13597/news/chemistry-student-recognized-for-high-exam-score/,Community life,News,Spread awareness,School,1,0,No,3,275,"Student achievement, awards, academics"
UHigh Midway,2021-11-10,Students seek spaces to discuss accommodations,"Lucia Kouri, Editor-In-Chief",https://uhighmidway.com/13463/news/students-seek-spaces-to-discuss-accommodations/,Socio-political issues and school culture ,News,Promote discourse,School,3,0,Yes,2,556,"Disability, accommodations, academics, extracurriculars"
UHigh Midway,2021-11-09,Heavy workload aggravates students,Peter Pu and Meena Lee,https://uhighmidway.com/13511/news/heavy-workload-aggravates-students/,Socio-political issues and school culture ,News,Accountability,School,3,0,Yes,1,708,"Student stress, academics, student mental health"
UHigh Midway,2021-11-09,"Adults learn to identify, respond to student distress","Lucia Kouri, Editor-In-Chief",https://uhighmidway.com/13499/news/adults-learn-to-identify-respond-to-student-distress/,Socio-political issues and school culture ,News,Spread awareness,School,0,2,Yes,2,600,"Student stress, student mental health  "
UHigh Midway,2021-11-02,New system can ease hassle of printing in library,"Anathea Carrigan, Managing Editor",https://uhighmidway.com/13407/news/new-system-can-ease-hassle-of-printing-in-library/,School policy/administration,News,Promote discourse,School,1,1,No,2,620,"School policy, policy shift"
UHigh Midway,2021-10-29,"Club sets up ofrenda to spread knowledge, celebrate the Day of the Dead","Joaquin Figueroa, Reporter",https://uhighmidway.com/13361/news/club-sets-up-ofrenda-to-spread-knowledge-celebrate-the-day-of-the-dead/,Community life,News,Spread awareness,School,1,1,No,3,334,"Race, culture, clubs, celebration"
UHigh Midway,2021-10-29,On-site vaccine clinic to be held for 5-to 11-year-olds,"Toshiro Chin, Reporter",https://uhighmidway.com/13347/news/on-site-vaccine-clinic-to-be-held-for-5-to-11-year-olds/,Community life,News,Inform,School,0,2,No,3,276,"COVID, vaccination, events"
UHigh Midway,2021-10-28,"Secret club uses memes to prompt dialogue, raise concerns","Meena Lee, Sports Editor",https://uhighmidway.com/13311/news/secret-club-uses-memes-to-prompt-dialogue-raise-concerns/,Socio-political issues and school culture ,News,Promote discourse,School,2,0,Yes,2,626,"Student stress, mental health, academics"
UHigh Midway,2021-10-27,Expanding robotics team moves into a larger room,"Ethan Swinger, Reporter",https://uhighmidway.com/13264/news/expanding-robotics-team-moves-into-a-larger-room/,Community life,News,Spread awareness,School,1,2,No,3,329,"Clubs, extracurriculars"
UHigh Midway,2021-10-27,6 students chosen for youth DEI conference,"Clare O'Connor, Assistant Editor",https://uhighmidway.com/13299/news/6-students-chosen-for-youth-dei-conference/,Community life,News,Spread awareness,School,2,0,No,3,440,"Race, gender, diversity, events"
UHigh Midway,2021-10-19,"After a year of separation, sophomores connect during retreat","Audrey Matzke, Reporter",https://uhighmidway.com/13146/news/after-a-year-of-separation-sophomores-connect-during-retreat/,Community life,News,Spread awareness,School,3,0,No ,3,501,"Student life, social life, events"
UHigh Midway,2021-10-19,"Unorganized, inconvenient deadlines prompt new homework policies","Adrianna Nehme, News Editor",https://uhighmidway.com/13140/news/unorganized-inconvenient-deadlines-prompt-new-homework-policies/,School policy/administration,News,Inform,School,3,0,Yes,2,335,"Curriculum, academics, policy shift"
UHigh Midway,2021-10-19,Teachers receive booster shots; UChicago requires employee vaccination,"Louis Auxenfans, Assistant Editor",https://uhighmidway.com/13104/news/teachers-receive-booster-shots-uchicago-requires-employee-vaccination/,School policy/administration,News,Spread awareness,School,0,3,Yes,3,419,"COVID, vaccination, COVID policy"
UHigh Midway,2021-10-18,Debate team succeeds despite virtual challenges,"Audrey Park , Assistant Editor",https://uhighmidway.com/13092/news/debate-team-succeeds-despite-virtual-challenges/,Community life,News,Spread awareness,School,1,1,No,3,223,"Clubs, extracurriculars, awards"
UHigh Midway,2021-10-18,Model UN team starts season strong,"Louis Auxenfans, Assistant Editor",https://uhighmidway.com/13089/news/model-un-team-starts-season-strong/,Community life,News,Spread awareness,School,2,0,No,3,263,"Clubs, extracurriculars, awards"
UHigh Midway,2021-10-08,"In-person learning affects academic, social life","Anathea Carrigan, Adrianna Nehme, and An Ngo",https://uhighmidway.com/12957/news/in-person-learning-affects-academic-social-life/,Socio-political issues and school culture ,News,Promote discourse,School,3,3,Yes,2,1600,"COVID, remote learning, academics, grading, mental health"
UHigh Midway,2021-10-05,Students decorate U-High’s first floor boys bathroom,"Chloe Ma, Reporter",https://uhighmidway.com/12931/news/students-decorate-u-highs-first-floor-boys-bathroom/,Socio-political issues and school culture ,News,Promote discourse,School,2,0,Yes,2,265,"Student behavior, vandalism, student discipline"
UHigh Midway,2021-10-02,Homecoming occurs with record attendance,"Audrey Matei, Reporter",https://uhighmidway.com/12838/news/homecoming-occurs-with-record-attendance/,Community life,News,Spread awareness,School,3,0,No,3,466,"Student government, student life, social life"
UHigh Midway,2021-09-29,Students choose Café Lab payment methods for convenience,"Louis Auxenfans, Reporter",https://uhighmidway.com/12806/news/students-choose-cafe-lab-payment-methods-for-convenience/,School policy/administration,News,Promote discourse,School,2,1,No,3,452,"Dining, school policy"
UHigh Midway,2021-09-28,"Computer science teacher receives award for inspiring, engaging students","Ethan Swinger, Reporter",https://uhighmidway.com/12792/news/computer-science-teacher-receives-award-for-inspiring-engaging-students/,Community life,News,Spread awareness,School,0,1,No,3,275,"Faculty, awards"
UHigh Midway,2021-09-23,Squirrels found around U-High,"Peter Cox, Reporter",https://uhighmidway.com/12762/news/squirrels-found-around-u-high/,Community life,News,Inform,School,1,2,No,3,335,
UHigh Midway,2021-09-23,Students crowd in Café Lab for first in-person club shopping since 2019,"Sahana Unni, Reporter",https://uhighmidway.com/12757/news/students-crowd-in-cafe-lab-for-first-in-person-club-shopping-since-2019/,Community life,News,Spread awareness,School,3,0,No,3,219,"Clubs, extracurriculars"
UHigh Midway,2021-09-23,Historic campus’s first fire drill runs smoothly,"Amy Ren, Reporter",https://uhighmidway.com/12753/news/historic-campuss-first-fire-drill-runs-smoothly/,Threats to student safety,News,Spread awareness,School,2,1,No,3,315,"Student safety, fire"
UHigh Midway,2021-09-21,‘Hollywood’ themed homecoming to take place Sept. 25,"Audrey Matei, Reporter",https://uhighmidway.com/12735/news/hollywood-themed-homecoming-to-take-place-sept-25/,Community life,News,Inform,School,2,0,No,3,275,"Student life, social life, student government"
UHigh Midway,2021-09-17,Hiring shortage impacts Extended Day Program,"Audrey Park , Reporter",https://uhighmidway.com/12724/news/hiring-shortage-impacts-extended-day-program/,School policy/administration,News,Inform,School,1,1,Yes,2,410,"Hiring, hiring issues, public image, COVID"
UHigh Midway,2021-09-10,28 students join U-High; financial support remains stable,"Peter Pu, Editor-In-Chief",https://uhighmidway.com/12648/news/28-students-join-u-high-financial-support-remains-stable/,School policy/administration,News,Inform,School,0,2,No,3,288,Enrollment
UHigh Midway,2021-09-10,Student vaccination rate at ‘excellent place’,"Lucia Kouri, Editor-in-Chief",https://uhighmidway.com/12642/news/student-vaccination-rate-at-excellent-place/,Community life,News,Inform,School,3,1,Yes,2,527,"COVID, vaccination"
Lion,2021-12-22,Special Ed. endures staff shortages,"Ella Mahaney, Managing Editor",https://www.lionnewspaper.com/news/2021/12/22/special-ed-endures-staff-shortages/,School policy/administration,News,Inform,School,0,4,Yes,2,714,"Hiring, hiring issues, special education, school finance"
Lion,2021-12-22,Alumnus works toward becoming influencer for Gen-Z students,"Janessa Mosqueda, News Editor, Multimedia Editor",https://www.lionnewspaper.com/news/2021/12/22/alumnus-works-toward-becoming-influencer-for-gen-z-students/,Socio-political issues and school culture,News,Spread awareness,School,1,1,No,3,839,"Alumni, mental health, disability, cultural comment"
Lion,2021-12-22,New English course offered at NC,"Abe Morales, News Editor, Multimedia Editor",https://www.lionnewspaper.com/news/2021/12/22/new-english-course-offered-at-nc/,School policy/administration,News,Inform,School,1,1,No,3,318,"Curriculum, academics"
Lion,2021-12-22,New Yoga class in development for next year,"Evelyn Kowalski, Reporter",https://www.lionnewspaper.com/news/2021/12/22/new-yoga-class-in-development-for-next-year/,School policy/administration,News,Inform,School,2,1,No,3,472,"Curriculum, academics, community involvement"
Lion,2021-12-22,Civics classes help Care Space development,"Rory Quealy, News Editor, Website Editor",https://www.lionnewspaper.com/news/2021/12/22/civics-classes-help-care-space-development/,Community life,News,Spread awareness,School,1,1,No,3,462,"Curriculum, academics, community involvement, politics"
Lion,2021-12-22,Senior competes in bodybuilding,"Morgan Fry, Editor in Chief",https://www.lionnewspaper.com/news/2021/12/22/senior-competes-in-bodybuilding/,Community life,News,Spread awareness,School,1,2,No,3,793,"Student achievement, awards, profile"
